person_id,name,entity_type,related_film_count,has_wikipedia_text,intro_chars,wikitext_chars,source_url
NAME:卡尔·马克维斯,卡尔·马克维斯,演员,1,False,0,0,
WP:Aurora_Ribero,Aurora Ribero,演员,1,False,0,0,
WP:Chew_Kin_Wah,Chew Kin Wah,演员,1,False,0,0,
NAME:Collider,Collider,演员,1,False,0,0,
NAME:DJ卡利,DJ卡利,演员,1,False,0,0,
NAME:DJ松永（Creepy Nuts）,DJ松永（Creepy Nuts）,演员,1,False,0,0,
NAME:Deadline Hollywood,Deadline Hollywood,演员,2,False,0,0,
Q15291033,FKA Twigs,演员,1,True,396,5046,https://zh.wikipedia.org/wiki/FKA_Twigs
NAME:Fangoria,Fangoria,演员,1,False,0,0,
Q181936,F·莫瑞·亚伯拉罕,演员,3,True,119,8277,https://zh.wikipedia.org/wiki/F%C2%B7%E8%8E%AB%E7%91%9E%C2%B7%E4%BA%9E%E4%BC%AF%E6%8B%89%E7%BD%95
NAME:Gulf News,Gulf News,演员,1,False,0,0,
NAME:IndieWire,IndieWire,演员,1,False,0,0,
WP:Jonathan_Sagall,Jonathan Sagall,演员,1,False,0,0,
NAME:J·D·帕尔多,J·D·帕尔多,演员,1,False,0,0,
Q150482,J·K·西蒙斯,演员,9,True,296,12725,https://zh.wikipedia.org/wiki/J%C2%B7K%C2%B7%E8%A5%BF%E8%92%99%E6%96%AF
Q19848,Lady Gaga,演员,1,True,1540,164395,https://zh.wikipedia.org/wiki/Lady_Gaga
Q60229344,MIRROR (组合),演员,1,True,581,181799,https://zh.wikipedia.org/wiki/MIRROR_(%E7%B5%84%E5%90%88)
NAME:P. J.拜恩,P. J.拜恩,演员,1,False,0,0,
Q30072039,Quavo,演员,1,True,240,1165,https://zh.wikipedia.org/wiki/Quavo
NAME:The Escapist,The Escapist,演员,1,False,0,0,
NAME:USA Today,USA Today,演员,1,False,0,0,
NAME:thumb|[[大卫·霍华德·桑顿,thumb|[[大卫·霍华德·桑顿,演员,1,False,0,0,
NAME:}},}},演员,12,False,0,0,
NAME:丁 羽,丁 羽,演员,1,False,0,0,
Q17504174,丁海寅,演员,1,True,153,54141,https://zh.wikipedia.org/wiki/%E4%B8%81%E6%B5%B7%E5%AF%85
