person_id,name,entity_type,related_film_count,has_wikipedia_text,intro_chars,wikitext_chars,source_url
Q444583,D·J·克鲁索,导演,1,True,176,3907,https://zh.wikipedia.org/wiki/D%C2%B7J%C2%B7%E5%85%8B%E9%AD%AF%E7%B4%A2
Q462078,F·加里·格雷,导演,1,True,98,3748,https://zh.wikipedia.org/wiki/F%C2%B7%E5%8A%A0%E9%87%8C%C2%B7%E6%A0%BC%E9%9B%B7
Q1676295,J·C·陈多尔,导演,1,True,164,4834,https://zh.wikipedia.org/wiki/J%C2%B7C%C2%B7%E9%99%88%E5%A4%9A%E5%B0%94
Q4351712,J·J·佩里,导演,1,True,168,3592,https://zh.wikipedia.org/wiki/J%C2%B7J%C2%B7%E4%BD%A9%E9%87%8C
WP:Timo_Tjahjanto,Timo Tjahjanto,导演,1,False,0,0,
NAME:{{le|史考特·贝克和布莱恩·伍兹|Scott Beck and Bryan Woods|史考特·贝克,{{le|史考特·贝克和布莱恩·伍兹|Scott Beck and Bryan Woods|史考特·贝克,导演,1,False,0,0,
NAME:}},}},导演,3,False,0,0,
Q548823,丹尼斯·维勒弗,导演,7,True,70,9757,https://zh.wikipedia.org/wiki/%E4%B8%B9%E5%B0%BC%E6%96%AF%C2%B7%E7%BB%B4%E5%8B%92%E5%BC%97
Q23662548,乌斯曼·里亚兹,导演,1,True,98,1570,https://zh.wikipedia.org/wiki/%E7%83%8F%E6%96%AF%E6%9B%BC%C2%B7%E9%87%8C%E4%BA%9E%E8%8C%B2
Q446960,乔治·米勒,导演,2,True,207,6490,https://zh.wikipedia.org/wiki/%E4%B9%94%E6%B2%BB%C2%B7%E7%B1%B3%E5%8B%92
Q385058,乔瑟夫·麦克吉帝·尼克尔,导演,1,True,144,10330,https://zh.wikipedia.org/wiki/%E5%96%AC%E7%91%9F%E5%A4%AB%C2%B7%E9%BA%A5%E5%85%8B%E5%90%89%E5%B8%9D%C2%B7%E5%B0%BC%E5%85%8B%E7%88%BE
Q542634,亚历克斯·加兰,导演,2,True,74,4255,https://zh.wikipedia.org/wiki/%E4%BA%9A%E5%8E%86%E5%85%8B%E6%96%AF%C2%B7%E5%8A%A0%E5%85%B0
Q528132,亚历山大·阿甲,导演,1,True,151,6141,https://zh.wikipedia.org/wiki/%E4%BA%9E%E6%AD%B7%E5%B1%B1%E5%A4%A7%C2%B7%E9%98%BF%E7%94%B2
Q4679987,亚当·温高德,导演,1,True,158,4721,https://zh.wikipedia.org/wiki/%E4%BA%9E%E7%95%B6%C2%B7%E6%BA%AB%E9%AB%98%E5%BE%B7
NAME:佐殊·麦高连（Josh Margolin）,佐殊·麦高连（Josh Margolin）,导演,1,False,0,0,
WP:何国敏,何国敏,导演,1,False,0,0,
Q130331745,何妙祺,导演,1,True,54,4090,https://zh.wikipedia.org/wiki/%E4%BD%95%E5%A6%99%E7%A5%BA
WP:何念,何念,导演,1,False,0,0,
WP:何英毅,何英毅,导演,1,False,0,0,
Q55171,佩德罗·阿尔莫多瓦尔,导演,1,True,256,14221,https://zh.wikipedia.org/wiki/%E4%BD%A9%E5%BE%B7%E7%BD%97%C2%B7%E9%98%BF%E5%B0%94%E8%8E%AB%E5%A4%9A%E7%93%A6%E5%B0%94
