person_id,name,entity_type,related_film_count,has_wikipedia_text,intro_chars,wikitext_chars,source_url
NAME:-{zh-hans:卡尔·马克维斯;zh-hant:卡尔·马可维奇;}-,-{zh-hans:卡尔·马克维斯;zh-hant:卡尔·马可维奇;}-,演员,1,False,0,0,
WP:Aurora_Ribero,Aurora Ribero,演员,1,False,0,0,
WP:Chew_Kin_Wah,Chew Kin Wah,演员,1,False,0,0,
NAME:Collider,Collider,演员,1,False,0,0,
NAME:DJ卡利,DJ卡利,演员,1,False,0,0,
NAME:DJ松永（Creepy Nuts）,DJ松永（Creepy Nuts）,演员,1,False,0,0,
NAME:Deadline Hollywood,Deadline Hollywood,演员,2,False,0,0,
Q15291033,FKA Twigs,演员,1,True,396,5046,https://zh.wikipedia.org/wiki/FKA_Twigs
NAME:Fangoria,Fangoria,演员,1,False,0,0,
Q181936,F·莫瑞·亚伯拉罕,演员,1,True,119,8277,https://zh.wikipedia.org/wiki/F%C2%B7%E8%8E%AB%E7%91%9E%C2%B7%E4%BA%9E%E4%BC%AF%E6%8B%89%E7%BD%95
NAME:Gulf News,Gulf News,演员,1,False,0,0,
NAME:IndieWire,IndieWire,演员,1,False,0,0,
WP:Jonathan_Sagall,Jonathan Sagall,演员,1,False,0,0,
NAME:J·D·帕尔多,J·D·帕尔多,演员,1,False,0,0,
Q150482,J·K·西蒙斯,演员,2,True,296,13096,https://zh.wikipedia.org/wiki/J%C2%B7K%C2%B7%E8%A5%BF%E8%92%99%E6%96%AF
Q19848,Lady Gaga,演员,1,True,1540,164556,https://zh.wikipedia.org/wiki/Lady_Gaga
Q60229344,MIRROR (组合),演员,1,True,581,181803,https://zh.wikipedia.org/wiki/MIRROR_(%E7%B5%84%E5%90%88)
NAME:P. J.拜恩,P. J.拜恩,演员,1,False,0,0,
Q30072039,Quavo,演员,1,True,240,1165,https://zh.wikipedia.org/wiki/Quavo
NAME:The Escapist,The Escapist,演员,1,False,0,0,
NAME:USA Today,USA Today,演员,1,False,0,0,
NAME:thumb|[[大卫·霍华德·桑顿,thumb|[[大卫·霍华德·桑顿,演员,1,False,0,0,
NAME:}},}},演员,12,False,0,0,
NAME:丁 羽,丁 羽,演员,1,False,0,0,
Q17504174,丁海寅,演员,1,True,153,54141,https://zh.wikipedia.org/wiki/%E4%B8%81%E6%B5%B7%E5%AF%85
Q22126767,七濑彩夏,演员,1,True,81,17322,https://zh.wikipedia.org/wiki/%E4%B8%83%E7%80%A8%E5%BD%A9%E5%A4%8F
Q557272,万桑·蓝东,演员,1,True,183,2797,https://zh.wikipedia.org/wiki/%E8%90%AC%E6%A1%91%C2%B7%E8%97%8D%E6%9D%B1
WP:9469514,万洛·隆甘迦,演员,1,True,178,1653,https://zh.wikipedia.org/wiki/%E8%90%AC%E6%B4%9B%C2%B7%E9%9A%86%E7%94%98%E8%BF%A6
WP:三亚·库纳空,三亚·库纳空,演员,1,False,0,0,
Q2779622,三宅健太,演员,1,True,101,33770,https://zh.wikipedia.org/wiki/%E4%B8%89%E5%AE%85%E5%81%A5%E5%A4%AA
Q37001,三船敏郎,演员,1,True,107,6751,https://zh.wikipedia.org/wiki/%E4%B8%89%E8%88%B9%E6%95%8F%E9%83%8E
Q16264425,上田丽奈,演员,1,True,231,68686,https://zh.wikipedia.org/wiki/%E4%B8%8A%E7%94%B0%E9%BA%97%E5%A5%88
Q229291,东妮·克莉蒂,演员,1,True,148,6397,https://zh.wikipedia.org/wiki/%E6%9D%B1%E5%A6%AE%C2%B7%E5%85%8B%E8%8E%89%E8%92%82
Q16237562,东尼·雷佛罗里,演员,1,True,216,2735,https://zh.wikipedia.org/wiki/%E6%9D%B1%E5%B0%BC%C2%B7%E9%9B%B7%E4%BD%9B%E7%BE%85%E9%87%8C
Q105258216,东达婉·丹缇维贾坤,演员,1,True,137,9609,https://zh.wikipedia.org/wiki/%E6%9D%B1%E9%81%94%E5%A9%89%C2%B7%E4%B8%B9%E7%B7%B9%E7%B6%AD%E8%B3%88%E5%9D%A4
Q984641,中村悠一,演员,1,True,104,60559,https://zh.wikipedia.org/wiki/%E4%B8%AD%E6%9D%91%E6%82%A0%E4%B8%80
Q958385,丹·史蒂文斯,演员,2,True,74,8343,https://zh.wikipedia.org/wiki/%E4%B8%B9%C2%B7%E5%8F%B2%E8%92%82%E6%96%87%E6%96%AF
Q1252051,丹·布卡廷斯基,演员,1,True,93,1125,https://zh.wikipedia.org/wiki/%E4%B8%B9%C2%B7%E5%B8%83%E5%8D%A1%E5%BB%B7%E6%96%AF%E5%9F%BA
